Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,RAM,ROM,Display_Size,Battery,Full_HD_or_HD,Camera
OPPO,17499,25999,32% off,4.4,498303774.0,8.0,128.0,16.66,5000.0,HD,48.0
OPPO,17499,25999,32% off,4.4,498303774.0,8.0,128.0,16.66,5000.0,HD,48.0
Infinix,6499,8999,27% off,4.3,261751783.0,2.0,64.0,16.76,5000.0,HD,8.0
Infinix,6499,8999,27% off,4.3,261751783.0,2.0,64.0,16.76,5000.0,HD,8.0
POCO,15999,22999,30% off,4.2,567855828.0,6.0,64.0,16.94,5000.0,Full HD,64.0
POCO,12999,18999,31% off,4.1,208701717.0,6.0,128.0,16.71,5000.0,Full HD,50.0
Infinix,9999,14999,33% off,4.3,473495074.0,4.0,128.0,17.22,5000.0,Full HD,50.0
Moto,16999,22999,26% off,4.2,211972465.0,6.0,128.0,16.26,5000.0,Full HD,50.0
REDMI,8248,8670,4% off,4.2,8396611.0,4.0,64.0,16.59,5000.0,HD,13.0
REDMI,8100,8349,2% off,4.2,8396611.0,4.0,64.0,16.59,5000.0,HD,13.0
POCO,24999,32999,24% off,4.3,112511607.0,6.0,128.0,16.94,4500.0,Full HD,64.0
POCO,14999,19999,25% off,4.2,379163442.0,6.0,128.0,16.76,5000.0,Full HD,50.0
MOTOROLA,10499,13999,25% off,4.2,312073654.0,4.0,64.0,16.26,5000.0,Full HD,50.0
Moto,16999,22999,26% off,4.2,211972465.0,6.0,128.0,16.26,5000.0,Full HD,50.0
Infinix,7499,12999,42% off,4.2,146111210.0,4.0,64.0,17.02,5000.0,Full HD,13.0
APPLE,40999,43900,6% off,4.6,17395610293.0,,64.0,15.49,,HD,12.0
Infinix,6499,8999,27% off,4.3,261751783.0,2.0,64.0,16.76,5000.0,HD,8.0
Realme,5249,8499,38% off,4.3,596303026.0,2.0,32.0,16.51,5000.0,HD,8.0
APPLE,69999,79900,12% off,4.7,1712619345.0,,256.0,15.49,,,12.0
REDMI,8496,8899,4% off,4.1,6487414.0,4.0,64.0,16.59,5000.0,,13.0
REDMI,7607,7722,1% off,4.1,143096.0,3.0,32.0,16.59,5000.0,,13.0
REDMI,8188,9200,11% off,4.1,6487414.0,4.0,64.0,16.59,5000.0,,13.0
Infinix,9499,13999,32% off,4.2,4949296.0,6.0,64.0,16.76,5000.0,HD,50.0
OPPO,16990,22999,26% off,4.3,4980423.0,8.0,128.0,16.74,5000.0,Full HD,50.0
realme,13999,15999,12% off,4.2,12101799.0,6.0,128.0,16.76,5000.0,Full HD,50.0
vivo,17999,23990,24% off,4.3,4881419.0,8.0,128.0,16.36,5000.0,Full HD,50.0
MOTOROLA,17999,24999,28% off,4.1,1613193.0,8.0,128.0,16.64,5000.0,Full HD,50.0
POCO,18999,25999,26% off,4.1,133771407.0,8.0,128.0,16.94,5000.0,Full HD,64.0
Infinix,11999,17999,33% off,4.2,108351056.0,6.0,128.0,17.02,5000.0,Full HD,50.0
Infinix,11999,17999,33% off,4.2,108351056.0,6.0,128.0,17.02,5000.0,Full HD,50.0
REDMI,12999,16999,23% off,4.3,435563156.0,4.0,64.0,16.66,5000.0,Full HD,48.0
Infinix,12999,19999,35% off,4.2,6620866.0,8.0,128.0,17.02,5000.0,Full HD,50.0
MOTOROLA,21499,25999,17% off,4.1,2817367.0,8.0,128.0,16.76,5000.0,Full HD,50.0
SAMSUNG,13499,16999,20% off,4.3,636265869.0,6.0,128.0,16.26,6000.0,HD,48.0
REDMI,7547,7675,1% off,4.1,68849.0,3.0,32.0,16.59,5000.0,,13.0
REDMI,8280,8990,7% off,4.1,4615298.0,4.0,64.0,16.59,5000.0,,13.0
APPLE,40999,43900,6% off,4.6,17395610293.0,,64.0,15.49,,HD,12.0
Infinix,11499,14999,23% off,4.3,380764596.0,4.0,64.0,17.02,5000.0,Full HD,50.0
REDMI,12999,16999,23% off,4.3,435563156.0,4.0,64.0,16.66,5000.0,Full HD,48.0
Infinix,11499,16999,32% off,4.2,100721197.0,6.0,128.0,17.02,5000.0,Full HD,50.0
POCO,13999,21999,36% off,4.3,118231035.0,8.0,128.0,16.33,5000.0,Full HD,64.0
Redmi,7181,7930,9% off,4.2,5722431.0,3.0,32.0,16.59,5000.0,HD,13.0
realme,7999,11999,33% off,4.3,2609145.0,4.0,64.0,16.51,5000.0,HD,8.0
MOTOROLA,9999,13999,28% off,3.7,257433103.0,4.0,64.0,16.51,5000.0,HD,50.0
Infinix,16199,24999,35% off,4.1,135581808.0,8.0,128.0,17.02,5000.0,Full HD,108.0
SAMSUNG,14225,15989,11% off,4.1,24716.0,6.0,128.0,16.51,5000.0,,50.0
vivo,23999,28990,17% off,4.3,7020676.0,6.0,128.0,16.36,4700.0,Full HD,64.0
MOTOROLA,14999,21999,31% off,4.0,2545438.0,6.0,128.0,16.64,5000.0,Full HD,108.0
LAVA,1212,1319,8% off,4.2,269632780.0,,,4.5,1750.0,,3.0
DIZO,1799,1999,10% off,4.0,119721437.0,,,7.11,1900.0,,3.0
Xiaomi,26999,33999,20% off,4.2,6278699.0,8.0,128.0,16.94,4500.0,Full HD,108.0
REDMI,14999,18999,21% off,4.2,301512337.0,6.0,128.0,16.66,5000.0,Full HD,48.0
REDMI,10499,12999,19% off,4.2,4326287.0,6.0,128.0,16.59,5000.0,HD,13.0
MOTOROLA,24999,34999,28% off,4.1,3232488.0,8.0,128.0,16.64,4020.0,Full HD,50.0
Infinix,9999,14999,33% off,4.3,473495074.0,4.0,128.0,17.22,5000.0,Full HD,50.0
OPPO,15490,20990,26% off,4.3,214501580.0,6.0,128.0,16.33,5000.0,Full HD,48.0
Infinix,16199,24999,35% off,4.1,135581808.0,8.0,128.0,17.02,5000.0,Full HD,108.0
Xiaomi,26999,33999,20% off,4.2,6278699.0,8.0,128.0,16.94,4500.0,Full HD,108.0
Itel,899,915,1% off,4.1,30317.0,,,4.57,1000.0,,0.0
realme,17249,24999,31% off,4.4,244572026.0,6.0,128.0,16.76,5000.0,Full HD,48.0
Infinix,13999,19999,30% off,4.2,98461154.0,6.0,64.0,17.02,5000.0,Full HD,50.0
Infinix,13999,19999,30% off,4.2,98461154.0,6.0,64.0,17.02,5000.0,Full HD,50.0
POCO,18999,25999,26% off,4.1,133771407.0,8.0,128.0,16.94,5000.0,Full HD,64.0
REDMI,12999,16999,23% off,4.4,820355584.0,6.0,64.0,16.33,5000.0,Full HD,64.0
Infinix,8999,11999,25% off,4.4,15920.0,4.0,64.0,17.32,6000.0,HD,8.0
Infinix,8999,11999,25% off,4.4,15920.0,4.0,64.0,17.32,6000.0,HD,8.0
Infinix,8999,11999,25% off,4.4,15920.0,4.0,64.0,17.32,6000.0,HD,8.0
Infinix,8999,11999,25% off,4.4,15920.0,4.0,64.0,17.32,6000.0,HD,8.0
APPLE,37999,59900,36% off,4.5,1208539681.0,,64.0,13.72,,HD,12.0
Redmi,13930,14359,2% off,4.2,8681690.0,6.0,64.0,16.33,5000.0,,50.0
Redmi,14294,19999,28% off,4.2,8681690.0,6.0,128.0,16.33,5000.0,,50.0
LAVA,1199,1340,10% off,4.0,2013157.0,,,4.5,800.0,,3.0
realme,7499,7999,6% off,4.4,23291010157.0,2.0,32.0,16.51,5000.0,HD,8.0
realme,7499,7999,6% off,4.4,23291010157.0,2.0,32.0,16.51,5000.0,HD,8.0
vivo,9499,13990,32% off,4.3,3320244.0,3.0,32.0,16.54,5000.0,HD,13.0
REDMI,8095,8678,6% off,4.1,4615298.0,4.0,64.0,16.59,5000.0,,13.0
Tecno,8999,10290,12% off,4.2,30231.0,4.0,64.0,16.76,5000.0,HD,50.0
SAMSUNG,1850,1950,5% off,4.3,19547118271.0,,,5.08,800.0,,0.0
Nothing,29499,39999,26% off,4.3,364074965.0,8.0,256.0,16.64,4500.0,Full HD,50.0
REDMI,22890,24989,8% off,4.2,775118.0,6.0,128.0,16.76,5080.0,,64.0
MOTOROLA,10499,13999,25% off,4.2,312073654.0,4.0,64.0,16.26,5000.0,Full HD,50.0
MOTOROLA,10999,16999,35% off,4.1,2443322.0,4.0,64.0,16.43,5000.0,Full HD,50.0
SAMSUNG,1299,1410,7% off,4.3,337722915.0,,,3.81,800.0,,
REDMI,7989,10999,27% off,4.1,143096.0,3.0,32.0,16.59,5000.0,,13.0
vivo,24999,30990,19% off,4.3,139981501.0,8.0,128.0,16.36,4700.0,Full HD,64.0
Redmi,7019,7889,11% off,4.2,5722431.0,3.0,32.0,16.59,5000.0,HD,13.0
Google,29999,43999,31% off,4.3,204242638.0,6.0,128.0,15.6,4410.0,Full HD,2.0
Google,29999,43999,31% off,4.3,204242638.0,6.0,128.0,15.6,4410.0,Full HD,2.0
Kechaoda,1199,1249,4% off,4.1,284332208.0,,,3.66,1000.0,,3.0
APPLE,43999,64900,32% off,4.5,1208539681.0,,128.0,13.72,,HD,12.0
REDMI,12999,16999,23% off,4.4,820355584.0,6.0,64.0,16.33,5000.0,Full HD,64.0
POCO,26999,34999,22% off,4.3,4074566.0,8.0,128.0,16.94,4500.0,Full HD,64.0
Kechaoda,1608,1799,10% off,4.0,188632012.0,,,6.1,3600.0,,3.0
POCO,12499,15999,21% off,4.3,2557193.0,4.0,64.0,16.71,5000.0,Full HD,50.0
Itel,1499,1559,3% off,4.1,1639158.0,,,6.1,2500.0,,3.0
REDMI,10499,12999,19% off,4.2,4326287.0,6.0,128.0,16.59,5000.0,HD,13.0
realme,18999,21999,13% off,4.4,772976550.0,6.0,128.0,16.76,5000.0,Full HD,64.0
LAVA,1999,2048,2% off,4.2,1336110.0,,,6.1,1200.0,,8.0
SAMSUNG,25999,32990,21% off,4.1,1368141.0,6.0,128.0,16.26,5000.0,Full HD,48.0
Nothing,33499,42999,22% off,4.3,5601644.0,12.0,256.0,16.64,4500.0,Full HD,50.0
Micromax,1259,1325,4% off,3.9,1630120.0,,,6.1,1450.0,,3.0
SAMSUNG,10295,10699,3% off,4.2,1523101.0,4.0,64.0,16.76,6000.0,,50.0
REDMI,8228,9200,10% off,4.1,6487414.0,4.0,64.0,16.59,5000.0,,13.0
Infinix,12999,19999,35% off,4.2,6620866.0,8.0,128.0,17.02,5000.0,Full HD,50.0
vivo,9999,12999,23% off,4.2,50234.0,3.0,32.0,16.54,5000.0,HD,13.0
Itel,1069,1149,6% off,4.1,3468319.0,,,4.57,1000.0,,3.0
Xiaomi,26999,31999,15% off,4.2,200662544.0,8.0,128.0,16.94,5160.0,Full HD,108.0
Nokia,2728,2788,2% off,4.1,198601569.0,,,6.1,1020.0,,3.0
POCO,12499,15999,21% off,4.3,2557193.0,4.0,64.0,16.71,5000.0,Full HD,50.0
realme,8999,9999,10% off,4.3,20412311085.0,4.0,64.0,16.51,5000.0,HD,8.0
APPLE,40999,43900,6% off,4.6,17395610293.0,,64.0,15.49,,HD,12.0
GREENBERRI,1299,1499,13% off,3.9,1414102.0,,,4.57,1050.0,,2.0
REDMI,19554,20459,4% off,4.1,59741.0,8.0,128.0,16.94,5000.0,,108.0
REDMI,12990,13315,2% off,4.3,2082166.0,4.0,64.0,16.94,5020.0,,48.0
Kechaoda,1299,1399,7% off,3.9,55632.0,,,4.57,400.0,,3.0
realme,24999,27999,10% off,4.4,302293700.0,6.0,128.0,16.26,4500.0,Full HD,50.0
vivo,13499,17990,24% off,4.3,1913156.0,4.0,64.0,16.54,5000.0,HD,13.0
APPLE,62999,69900,9% off,4.7,1712619345.0,,128.0,15.49,,,12.0
APPLE,83999,99900,15% off,4.7,1712619345.0,,512.0,15.49,,,12.0
Kechaoda,1099,1190,7% off,4.1,139111005.0,,,1.68,800.0,,
APPLE,83999,99900,15% off,4.7,1712619345.0,,512.0,15.49,,,12.0
APPLE,69999,79900,12% off,4.7,1712619345.0,,256.0,15.49,,,12.0
SAMSUNG,39999,74999,46% off,4.3,275602832.0,8.0,128.0,16.26,4500.0,Full HD,12.0
APPLE,83999,99900,15% off,4.7,1712619345.0,,512.0,15.49,,,12.0
APPLE,78740,79900,1% off,4.6,77357.0,,128.0,15.49,,,12.0
vivo,14499,17990,19% off,4.3,37726.0,4.0,64.0,16.64,5000.0,HD,50.0
vivo,20999,25990,19% off,4.2,1356117.0,8.0,128.0,16.36,4050.0,Full HD,50.0
