Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Core,Processor,RAM,ROM,SSD,Display
ASUS,104990,128990,18% off,4.6,38,i7 Processor,Intel,,,512 GB,35.56 cm
HP,68990,76020,9% off,4.4,2485,,AMD,,,512 GB,39.62 cm
MSI,52990,78990,32% off,4.1,86,,AMD,,,512 GB,39.62 cm
DELL,50990,63973,20% off,4.0,116,,AMD,,,512 GB,39.62 cm
ASUS,54990,76990,28% off,4.3,1778,i5 Processor,Intel,,,512 GB,39.62 cm
ASUS,89990,123990,27% off,4.5,502,,AMD,,,512 GB,35.56 cm
DELL,87900,112400,21% off,4.4,8,i5 Processor,Intel,,,512 GB,39.62 cm
acer,59434,65546,9% off,3.4,36,i5 Processor,Intel,,,256 GB,33.78 cm
HP,77990,88231,11% off,4.4,23,i5 Processor,Intel,,,512 GB,35.56 cm
MSI,79990,106990,25% off,4.1,16,i7 Processor,Intel,,,512 GB,39.62 cm
acer,74590,99999,25% off,4.6,13095,i5 Processor,Intel,,1 TB,128 GB,39.62 cm
Lenovo,73990,104890,29% off,4.0,15,,AMD,,,512 GB,39.62 cm
DELL,45890,55534,17% off,4.0,790,i3 Processor,Intel,,1 TB,256 GB,39.62 cm
ASUS,224990,350990,35% off,5.0,4,,AMD,,,1 TB,34.04 cm
MSI,80590,89990,10% off,4.4,18,i7 Processor,Intel,,,512 GB,35.56 cm
Lenovo,54990,85290,35% off,4.3,730,i5 Processor,Intel,,,512 GB,39.62 cm
HP,26400,31156,15% off,3.9,15,,Intel,,,,35.56 cm
Lenovo,36990,49096,24% off,4.3,222,i3 Processor,Intel,,,256 GB,38.1 cm
Lenovo,72990,112990,35% off,4.4,16,,AMD,,,512 GB,39.62 cm
MSI,99990,145990,31% off,4.5,751,i7 Processor,Intel,,1 TB,256 GB,39.62 cm
ASUS,49990,62990,20% off,3.8,6,i3 Processor,Intel,,,512 GB,35.56 cm
acer,27490,32990,16% off,4.3,12,,Intel,,,256 GB,35.56 cm
ASUS,110990,181990,39% off,4.7,19,,AMD,,,1 TB,34.04 cm
acer,139990,169999,17% off,5.0,7,i9 Processor,Intel,,,1 TB,39.62 cm
HP,28999,41610,30% off,3.7,24,,AMD,,1 TB,,35.56 cm
ASUS,65990,88990,25% off,4.3,75,i7 Processor,Intel,,,512 GB,39.62 cm
DELL,76990,106082,27% off,4.3,3,i5 Processor,Intel,,,512 GB,35.56 cm
Lenovo,38980,56800,31% off,5.0,4,i3 Processor,Intel,,,256 GB,35.56 cm
HP,40990,48053,14% off,4.3,4379,,AMD,,1 TB,256 GB,39.62 cm
